name,group,population,extent_w,extent_h,nodes_reachable,nodes_hashcons,splice_factor,tree_nodes,selects,compares,compares_feeding_selects,select_masks_shared,arm_true_med,arm_false_med,arm_excl_true_med,arm_excl_false_med,arm_excl_frac,gathers,buffers,uniforms,transcendentals,depth,ops,nodes_lowered,nodes_lowered_hc,input_dag_cost,input_tree_cost,input_sharing,tier_iters,class_cap,stop,iterations,applications,unions,classes,opt_ms,ext_nodes,ext_trip_tree_cost,ext_trip_dag_cost,ext_trip_sharing,ext_tree_cost,ext_dag_cost,ext_sharing,ext_selects,dag_cost_delta_pct,emit,bytes,spill_slots,hoisted,carried,frame_instr,row_instr,body_instr,frame_frac,row_frac,body_frac,frame_mem,row_mem,body_mem,body_remats,dyn_memory_ops,dyn_instructions,rule_hist,sched_len,sched_selects,guard_exclusive,guard_guarded,guard_exclusive_frac,guard_guarded_frac,guard_guarded_selects,guard_exclusive_selects,guard_select_frac,guard_lost_frac,classes_at_cap,quiesced,has_select,has_gather,has_transc,dup_gt_1,ext_shares,hoist_frac,class_per_hc_node,apps_per_hc_node,ext_shrink,lower_growth,sat_noop,sel_per_100,cmp_per_100,bytes_per_hc_node
cellgrid:120x40_d2,cellgrid,real,2400.0,1280.0,623.0,131.0,4.756,3211.0,4.0,4.0,0.0,1.0,64.0,1.0,64.0,1.0,0.992,14.0,2.0,0.0,0.0,28.0,Add:20;BitAnd:3;BitOr:3;Buffer:2;Const:22;Floor:4;Gather:14;Ge:2;Lt:2;Max:4;Min:6;Mul:23;Select:4;Shl:4;Sub:12;TruncToInt:4;Var:2,623.0,131.0,471.0,8131.0,17.263,100.0,5000.0,ClassCap,3.0,6952.0,3305.0,4582.0,21.2,121.0,16539130880.0,1228839680.0,13.459,7379.0,431.0,17.121,4.0,-8.49,ok,2912.0,8.0,13.0,13.0,0.0,85.0,212.0,0.0,0.286,0.714,0.0,0.0,24.0,54.0,18432000.0,162924800.0,fma-fusion:1606;commutative(Add):824;associative(Add):706;commutative(Mul):656;reverse-associative(Add):652;factor:635;reverse-associative(Mul):561;associative(Mul):542;distribute:499;identity(Mul):173;canonicalize(Sub):36;commutative(Min):34;commutative(Max):20;constant-fold:8,535,8,176,176,0.32897196261682243,0.32897196261682243,8,8,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.28619528619528617,34.97709923664122,53.06870229007634,0.9236641221374046,1.0,0.0,3.053435114503817,3.053435114503817,22.229007633587788
cellgrid:80x24_d1,cellgrid,real,800.0,384.0,623.0,128.0,4.867,3211.0,4.0,4.0,0.0,1.0,62.0,1.0,62.0,1.0,0.992,14.0,2.0,0.0,0.0,28.0,Add:20;BitAnd:3;BitOr:3;Buffer:2;Const:20;Floor:4;Gather:14;Ge:2;Lt:2;Max:4;Min:6;Mul:22;Select:4;Shl:4;Sub:12;TruncToInt:4;Var:2,623.0,128.0,466.0,8131.0,17.448,100.0,5000.0,ClassCap,3.0,6955.0,3308.0,4582.0,21.1,118.0,1654424064.0,121355904.0,13.633,7379.0,426.0,17.322,4.0,-8.58,ok,2848.0,8.0,13.0,13.0,0.0,85.0,210.0,0.0,0.288,0.712,0.0,0.0,24.0,54.0,1843200.0,16160640.0,fma-fusion:1609;commutative(Add):824;associative(Add):708;reverse-associative(Add):653;commutative(Mul):651;factor:635;reverse-associative(Mul):562;associative(Mul):543;distribute:499;identity(Mul):173;canonicalize(Sub):36;commutative(Min):34;commutative(Max):20;constant-fold:8,531,8,176,176,0.3314500941619586,0.3314500941619586,8,8,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.288135593220339,35.796875,54.3359375,0.921875,1.0,0.0,3.125,3.125,22.25
cellgrid:80x24_d2,cellgrid,real,1600.0,768.0,623.0,131.0,4.756,3211.0,4.0,4.0,0.0,1.0,64.0,1.0,64.0,1.0,0.992,14.0,2.0,0.0,0.0,28.0,Add:20;BitAnd:3;BitOr:3;Buffer:2;Const:22;Floor:4;Gather:14;Ge:2;Lt:2;Max:4;Min:6;Mul:23;Select:4;Shl:4;Sub:12;TruncToInt:4;Var:2,623.0,131.0,471.0,8131.0,17.263,100.0,5000.0,ClassCap,3.0,6952.0,3305.0,4582.0,20.8,121.0,6616163328.0,491543808.0,13.46,7379.0,431.0,17.121,4.0,-8.49,ok,2896.0,8.0,13.0,13.0,0.0,85.0,212.0,0.0,0.286,0.714,0.0,0.0,24.0,54.0,7372800.0,65191680.0,fma-fusion:1606;commutative(Add):824;associative(Add):706;commutative(Mul):656;reverse-associative(Add):652;factor:635;reverse-associative(Mul):561;associative(Mul):542;distribute:499;identity(Mul):173;canonicalize(Sub):36;commutative(Min):34;commutative(Max):20;constant-fold:8,535,8,176,176,0.32897196261682243,0.32897196261682243,8,8,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.28619528619528617,34.97709923664122,53.06870229007634,0.9236641221374046,1.0,0.0,3.053435114503817,3.053435114503817,22.106870229007633
glyph16:U+0020,glyph16,real,16.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Const:1,1.0,1.0,0.0,0.0,1.0,20.0,500.0,Quiesced,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,ok,164.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,,2,0,0,0,0.0,0.0,0,0,nan,nan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,164.0
glyph16:U+0021,glyph16,real,16.0,16.0,999.0,562.0,1.778,16635.0,43.0,61.0,24.0,2.0,62.0,1.0,61.0,0.0,0.978,0.0,0.0,0.0,0.0,38.0,Abs:1;Add:63;BitAnd:20;Const:68;Div:18;Dwrt:36;Ge:26;Gt:16;Le:18;Lt:1;Max:25;Min:19;Mul:60;MulAdd:91;Neg:6;Select:43;Sqrt:25;Sub:24;Var:2,1927.0,823.0,3665.0,62067.0,16.935,100.0,5000.0,ClassCap,2.0,6361.0,3316.0,4703.0,25.4,733.0,408654.0,188164.0,2.172,15534.0,3244.0,4.789,57.0,-11.49,ok,7952.0,0.0,79.0,2.0,19.0,572.0,150.0,0.026,0.772,0.202,1.0,77.0,128.0,0.0,9425.0,18771.0,commutative(Mul):1592;fma-fusion:900;commutative(Add):759;reverse-associative(Mul):614;associative(Mul):321;doubling:302;reverse-associative(Add):297;factor:290;halving:237;associative(Add):234;distribute:229;identity(Add):164;constant-fold:127;canonicalize(Sub):80;commutative(Max):75;commutative(Min):57;annihilator:41;canonicalize(Div):36;identity(Mul):6,1048,84,1049,1032,1.0009541984732824,0.9847328244274809,52,59,0.6190476190476191,0.0162059103908484,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.7975708502024291,5.714459295261239,7.729040097205346,0.8906439854191981,1.4644128113879002,0.0,7.6512455516014235,10.854092526690392,14.149466192170818
glyph16:U+0022,glyph16,real,16.0,16.0,199.0,113.0,1.761,1867.0,5.0,6.0,0.0,1.0,47.0,1.0,46.0,0.0,0.966,0.0,0.0,0.0,0.0,27.0,Abs:1;Add:15;BitAnd:4;Const:21;Div:4;Dwrt:8;Ge:3;Le:2;Lt:1;Max:4;Min:5;Mul:16;MulAdd:8;Select:5;Sqrt:4;Sub:10;Var:2,199.0,115.0,438.0,1817.0,4.148,100.0,5000.0,ClassCap,4.0,12092.0,2453.0,2888.0,89.7,104.0,38696.0,33736.0,1.147,881.0,406.0,2.17,5.0,-7.31,ok,1280.0,0.0,19.0,11.0,31.0,36.0,41.0,0.287,0.333,0.38,8.0,8.0,0.0,0.0,136.0,3231.0,fma-fusion:2396;reverse-associative(Add):1824;associative(Add):1649;commutative(Add):1494;commutative(Mul):835;reverse-associative(Mul):791;identity(Add):637;associative(Mul):591;distribute:511;factor:418;constant-fold:393;annihilator:281;doubling:66;canonicalize(Sub):40;inverse-annihilation(Sub):40;commutative(Min):35;commutative(Max):28;identity(Mul):25;canonicalize(Div):16;halving:16;involution(Sub):4;cancellation(Sub):2,179,10,126,102,0.7039106145251397,0.5698324022346368,6,10,0.6,0.19047619047619047,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6203703703703703,25.11304347826087,105.14782608695653,0.9043478260869565,1.0176991150442478,0.0,4.424778761061947,5.3097345132743365,11.327433628318584
glyph16:U+0023,glyph16,real,16.0,16.0,631.0,327.0,1.93,7051.0,17.0,13.0,0.0,5.0,45.0,1.0,44.0,0.0,0.968,0.0,0.0,0.0,0.0,39.0,Abs:1;Add:51;BitAnd:8;Const:40;Div:16;Dwrt:32;Ge:6;Le:2;Lt:5;Max:16;Min:17;Mul:40;MulAdd:32;Select:17;Sqrt:16;Sub:26;Var:2,615.0,291.0,1209.0,6309.0,5.218,100.0,5000.0,ClassCap,3.0,9866.0,3473.0,4309.0,81.5,306.0,140322.0,109897.0,1.277,3177.0,1237.0,2.568,17.0,2.32,ok,3312.0,0.0,47.0,11.0,77.0,125.0,111.0,0.246,0.399,0.355,13.0,41.0,42.0,23.0,3357.0,9181.0,fma-fusion:2114;commutative(Add):1783;reverse-associative(Add):1202;associative(Add):984;commutative(Mul):692;reverse-associative(Mul):481;factor:470;distribute:428;associative(Mul):419;identity(Add):399;constant-fold:297;annihilator:142;commutative(Min):85;commutative(Max):80;canonicalize(Sub):78;identity(Mul):66;doubling:60;canonicalize(Div):48;inverse-annihilation(Sub):20;halving:12;cancellation(Sub):5;involution(Sub):1,512,34,430,316,0.83984375,0.6171875,10,34,0.29411764705882354,0.2651162790697674,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.645367412140575,14.807560137457045,33.90378006872852,1.0515463917525774,0.8899082568807339,0.0,5.198776758409786,3.9755351681957185,10.128440366972477
glyph16:U+0024,glyph16,real,16.0,16.0,3685.0,2141.0,1.721,63079.0,161.0,232.0,90.0,0.0,63.0,1.0,62.0,0.0,0.978,0.0,0.0,0.0,0.0,69.0,Abs:1;Add:242;BitAnd:73;Const:278;Div:70;Dwrt:140;Ge:101;Gt:60;Le:62;Lt:9;Max:100;Min:71;Mul:208;MulAdd:350;Neg:29;Select:161;Sqrt:100;Sub:84;Var:2,7185.0,3140.0,13957.0,238389.0,17.08,100.0,5000.0,ClassCap,1.0,1886.0,1754.0,5000.0,19.6,3047.0,3148349.0,784942.0,4.011,139769.0,13702.0,10.201,221.0,-1.83,ok,29552.0,0.0,323.0,2.0,74.0,2406.0,605.0,0.024,0.78,0.196,29.0,322.0,492.0,0.0,36669.0,77290.0,commutative(Mul):799;commutative(Add):573;canonicalize(Sub):144;commutative(Max):100;constant-fold:75;commutative(Min):71;canonicalize(Div):70;distribute:17;identity(Mul):10;annihilator:9;factor:3;doubling:3;fma-fusion:3;identity(Add):2;halving:2;associative(Add):2;associative(Mul):1;reverse-associative(Add):1;reverse-associative(Mul):1,4307,322,4380,4352,1.0169491525423728,1.0104481077315997,202,230,0.6273291925465838,0.006392694063926951,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8038897893030794,1.5923566878980893,0.6006369426751592,0.9703821656050955,1.466604390471742,0.0,7.519850537132181,10.83605791686128,13.80289584306399
glyph16:U+0025,glyph16,real,16.0,16.0,3615.0,1959.0,1.845,63531.0,163.0,223.0,96.0,8.0,61.0,1.0,60.0,0.0,0.978,0.0,0.0,0.0,0.0,62.0,Abs:1;Add:219;BitAnd:68;Const:193;Div:66;Dwrt:132;Ge:92;Gt:64;Le:66;Lt:1;Max:91;Min:67;Mul:204;MulAdd:349;Neg:18;Select:163;Sqrt:91;Sub:72;Var:2,7327.0,2952.0,13438.0,245115.0,18.24,100.0,5000.0,ClassCap,1.0,1990.0,1813.0,5000.0,20.2,2864.0,2777070.0,753418.0,3.686,167430.0,13288.0,12.6,213.0,-1.12,ok,28928.0,6.0,308.0,2.0,58.0,2259.0,576.0,0.02,0.781,0.199,20.0,325.0,490.0,0.0,36580.0,73066.0,commutative(Mul):816;commutative(Add):560;canonicalize(Sub):136;distribute:109;commutative(Max):91;commutative(Min):67;canonicalize(Div):66;constant-fold:43;factor:23;doubling:20;associative(Add):15;halving:14;annihilator:8;associative(Mul):5;fma-fusion:5;identity(Add):4;reverse-associative(Add):3;reverse-associative(Mul):3;identity(Mul):2,4065,312,4357,4346,1.0718327183271832,1.0691266912669126,198,209,0.6346153846153846,0.002524672940096395,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8008987210508123,1.6937669376693767,0.674119241192412,0.9701897018970189,1.5068912710566615,0.0,8.320571720265441,11.38335885655947,14.766717713118938
glyph16:U+0026,glyph16,real,16.0,16.0,4596.0,2648.0,1.736,81117.0,208.0,293.0,123.0,1.0,63.0,1.0,62.0,0.0,0.979,0.0,0.0,0.0,0.0,72.0,Abs:1;Add:293;BitAnd:87;Const:339;Div:84;Dwrt:168;Ge:125;Gt:82;Le:84;Lt:2;Max:124;Min:85;Mul:258;MulAdd:454;Neg:38;Select:208;Sqrt:124;Sub:90;Var:2,9420.0,4064.0,18264.0,320677.0,17.558,100.0,5000.0,ClassCap,1.0,693.0,692.0,5000.0,20.7,4023.0,59674878.0,4528904.0,13.176,288798.0,17999.0,16.045,288.0,-1.45,ok,40800.0,320.0,42.0,13.0,95.0,7.0,3964.0,0.023,0.002,0.975,27.0,2.0,873.0,2182.0,55931.0,253903.0,commutative(Add):350;canonicalize(Sub):172;canonicalize(Div):84;constant-fold:84;identity(Add):2;identity(Mul):1,8114,576,20516,16002,2.528469312299729,1.9721469065812176,156,324,0.2708333333333333,0.22002339637356205,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.025086079685194294,1.2303149606299213,0.1705216535433071,0.9899114173228346,1.5347432024169185,0.0,7.854984894259819,11.064954682779456,15.407854984894259
glyph16:U+0027,glyph16,real,16.0,16.0,127.0,79.0,1.608,1003.0,3.0,6.0,0.0,1.0,47.0,1.0,46.0,0.0,0.964,0.0,0.0,0.0,0.0,25.0,Abs:1;Add:9;BitAnd:4;Const:17;Div:2;Dwrt:4;Ge:3;Le:2;Lt:1;Max:2;Min:3;Mul:12;MulAdd:4;Select:3;Sqrt:2;Sub:8;Var:2,127.0,81.0,278.0,1051.0,3.781,100.0,5000.0,ClassCap,5.0,16466.0,2971.0,3562.0,155.9,64.0,23750.0,20154.0,1.178,440.0,219.0,2.009,3.0,-21.22,ok,848.0,0.0,11.0,7.0,15.0,26.0,28.0,0.217,0.377,0.406,4.0,4.0,0.0,0.0,68.0,2223.0,fma-fusion:2981;reverse-associative(Add):2037;associative(Add):1874;commutative(Add):1819;commutative(Mul):1378;reverse-associative(Mul):1206;associative(Mul):1081;distribute:1035;identity(Add):889;factor:751;annihilator:540;constant-fold:536;doubling:109;inverse-annihilation(Sub):75;canonicalize(Sub):40;halving:36;commutative(Min):27;commutative(Max):18;identity(Mul):18;canonicalize(Div):10;involution(Sub):3;cancellation(Sub):3,115,6,68,56,0.591304347826087,0.48695652173913045,4,6,0.6666666666666666,0.17647058823529416,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5942028985507246,43.97530864197531,203.28395061728395,0.7901234567901234,1.0253164556962024,0.0,3.7974683544303796,7.594936708860759,10.734177215189874
glyph16:U+0028,glyph16,real,16.0,16.0,927.0,544.0,1.704,15771.0,41.0,60.0,24.0,0.0,63.0,1.0,62.0,0.0,0.979,0.0,0.0,0.0,0.0,37.0,Abs:1;Add:59;BitAnd:19;Const:77;Div:16;Dwrt:32;Ge:26;Gt:16;Le:18;Max:24;Min:17;Mul:56;MulAdd:88;Neg:8;Select:41;Sqrt:24;Sub:20;Var:2,1855.0,818.0,3607.0,61301.0,16.995,100.0,5000.0,ClassCap,2.0,6326.0,3296.0,4707.0,24.7,717.0,384544.0,175200.0,2.195,14869.0,3135.0,4.743,57.0,-13.09,ok,7760.0,0.0,74.0,0.0,0.0,585.0,136.0,0.0,0.811,0.189,0.0,74.0,122.0,0.0,8992.0,18064.0,commutative(Mul):1632;fma-fusion:871;commutative(Add):695;reverse-associative(Mul):626;associative(Mul):332;doubling:311;factor:298;reverse-associative(Add):284;halving:247;distribute:246;associative(Add):234;identity(Add):148;constant-fold:134;canonicalize(Sub):72;commutative(Max):72;commutative(Min):51;annihilator:41;canonicalize(Div):32,1005,82,988,980,0.9830845771144279,0.9751243781094527,50,58,0.6097560975609756,0.0080971659919028,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.811373092926491,5.754278728606357,7.733496332518337,0.8765281173594132,1.5036764705882353,0.0,7.536764705882353,11.029411764705882,14.264705882352942
glyph16:U+0029,glyph16,real,16.0,16.0,927.0,546.0,1.698,15771.0,41.0,60.0,24.0,0.0,63.0,1.0,62.0,0.0,0.979,0.0,0.0,0.0,0.0,37.0,Abs:1;Add:59;BitAnd:19;Const:79;Div:16;Dwrt:32;Ge:26;Gt:16;Le:18;Max:24;Min:17;Mul:56;MulAdd:88;Neg:8;Select:41;Sqrt:24;Sub:20;Var:2,1855.0,820.0,3607.0,61301.0,16.995,100.0,5000.0,ClassCap,2.0,6325.0,3297.0,4707.0,25.5,719.0,384544.0,175200.0,2.195,14869.0,3135.0,4.743,57.0,-13.09,ok,7760.0,0.0,74.0,0.0,0.0,587.0,136.0,0.0,0.812,0.188,0.0,74.0,122.0,0.0,8992.0,18096.0,commutative(Mul):1633;fma-fusion:871;commutative(Add):695;reverse-associative(Mul):626;associative(Mul):331;doubling:311;factor:298;reverse-associative(Add):284;halving:247;distribute:245;associative(Add):233;identity(Add):148;constant-fold:135;canonicalize(Sub):72;commutative(Max):72;commutative(Min):51;annihilator:41;canonicalize(Div):32,1007,82,988,980,0.9811320754716981,0.9731876861966237,50,58,0.6097560975609756,0.0080971659919028,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8118948824343015,5.740243902439024,7.713414634146342,0.8768292682926829,1.5018315018315018,0.0,7.509157509157509,10.989010989010989,14.212454212454212
glyph16:U+002A,glyph16,real,16.0,16.0,559.0,334.0,1.674,6187.0,15.0,23.0,0.0,1.0,47.0,1.0,46.0,0.0,0.97,0.0,0.0,0.0,0.0,37.0,Abs:1;Add:45;BitAnd:16;Const:52;Div:14;Dwrt:28;Ge:11;Le:2;Lt:10;Max:14;Min:15;Mul:36;MulAdd:28;Select:15;Sqrt:14;Sub:31;Var:2,559.0,336.0,1345.0,5647.0,4.199,100.0,5000.0,ClassCap,3.0,9690.0,3474.0,4480.0,62.1,352.0,117896.0,90044.0,1.309,3146.0,1409.0,2.233,15.0,4.76,ok,3680.0,2.0,57.0,13.0,101.0,163.0,92.0,0.284,0.458,0.258,15.0,48.0,31.0,18.0,2767.0,8597.0,fma-fusion:1986;commutative(Add):1864;reverse-associative(Add):1167;associative(Add):907;commutative(Mul):801;identity(Add):449;reverse-associative(Mul):435;constant-fold:432;associative(Mul):380;distribute:365;factor:323;annihilator:169;canonicalize(Sub):93;commutative(Min):75;commutative(Max):70;identity(Mul):58;doubling:48;canonicalize(Div):42;inverse-annihilation(Sub):17;halving:7;involution(Sub):1;cancellation(Sub):1,562,30,394,240,0.701067615658363,0.42704626334519574,2,30,0.06666666666666667,0.3908629441624365,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.7415730337078652,13.333333333333334,28.839285714285715,1.0476190476190477,1.0059880239520957,0.0,4.491017964071856,6.88622754491018,11.017964071856287
glyph16:U+002B,glyph16,real,16.0,16.0,271.0,149.0,1.819,2731.0,7.0,10.0,0.0,3.0,46.0,1.0,45.0,0.0,0.967,0.0,0.0,0.0,0.0,29.0,Abs:1;Add:21;BitAnd:6;Const:19;Div:6;Dwrt:12;Ge:5;Le:2;Lt:3;Max:6;Min:7;Mul:20;MulAdd:12;Select:7;Sqrt:6;Sub:14;Var:2,247.0,118.0,422.0,2427.0,5.751,100.0,5000.0,ClassCap,4.0,11484.0,1802.0,2053.0,33.4,101.0,53180.0,41018.0,1.297,860.0,308.0,2.792,7.0,-27.01,ok,1072.0,0.0,14.0,8.0,7.0,50.0,49.0,0.066,0.472,0.462,2.0,16.0,4.0,0.0,514.0,3943.0,fma-fusion:2468;reverse-associative(Add):2285;associative(Add):2033;commutative(Add):1794;identity(Add):671;commutative(Mul):393;constant-fold:362;factor:286;distribute:262;reverse-associative(Mul):245;associative(Mul):208;annihilator:162;doubling:60;canonicalize(Sub):56;commutative(Min):49;commutative(Max):42;inverse-annihilation(Sub):39;identity(Mul):36;canonicalize(Div):24;halving:5;involution(Sub):2;cancellation(Sub):2,181,14,146,92,0.8066298342541437,0.5082872928176796,2,14,0.14285714285714285,0.36986301369863017,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5377358490566038,17.39830508474576,97.32203389830508,0.8559322033898306,0.7919463087248322,0.0,4.697986577181208,6.7114093959731544,7.194630872483222
glyph16:U+002C,glyph16,real,16.0,16.0,854.0,509.0,1.678,14249.0,37.0,55.0,21.0,0.0,63.0,1.0,62.0,0.0,0.978,0.0,0.0,0.0,0.0,37.0,Abs:1;Add:55;BitAnd:18;Const:78;Div:15;Dwrt:30;Ge:24;Gt:14;Le:16;Lt:1;Max:22;Min:16;Mul:52;MulAdd:79;Neg:7;Select:37;Sqrt:22;Sub:20;Var:2,1694.0,763.0,3323.0,56906.0,17.125,100.0,5000.0,ClassCap,2.0,6368.0,3279.0,4675.0,25.0,662.0,340359.0,161204.0,2.111,12804.0,2879.0,4.447,51.0,-13.36,ok,7120.0,0.0,69.0,1.0,12.0,530.0,127.0,0.018,0.792,0.19,1.0,68.0,109.0,0.0,8065.0,16620.0,commutative(Mul):1492;fma-fusion:916;commutative(Add):699;reverse-associative(Mul):601;associative(Mul):345;factor:335;reverse-associative(Add):312;doubling:310;distribute:280;halving:269;associative(Add):268;identity(Add):148;constant-fold:132;canonicalize(Sub):68;commutative(Max):66;commutative(Min):48;annihilator:41;canonicalize(Div):30;identity(Mul):6;involution(Sub):2,933,74,895,876,0.9592711682743837,0.9389067524115756,44,53,0.5945945945945946,0.021229050279329642,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8101644245142003,6.127129750982962,8.346002621231978,0.8676277850589778,1.49901768172888,0.0,7.269155206286837,10.805500982318271,13.988212180746562
glyph16:U+002D,glyph16,real,16.0,16.0,127.0,77.0,1.649,1003.0,3.0,6.0,0.0,1.0,46.0,1.0,45.0,0.0,0.963,0.0,0.0,0.0,0.0,25.0,Abs:1;Add:9;BitAnd:4;Const:15;Div:2;Dwrt:4;Ge:3;Le:2;Lt:1;Max:2;Min:3;Mul:12;MulAdd:4;Select:3;Sqrt:2;Sub:8;Var:2,119.0,70.0,228.0,999.0,4.382,100.0,5000.0,Quiesced,7.0,15196.0,910.0,1035.0,36.6,54.0,23636.0,18810.0,1.257,326.0,150.0,2.173,3.0,-34.21,ok,672.0,0.0,8.0,6.0,7.0,24.0,27.0,0.121,0.414,0.466,2.0,4.0,0.0,0.0,66.0,2119.0,fma-fusion:2744;reverse-associative(Add):2553;associative(Add):2446;commutative(Add):2230;identity(Add):1180;constant-fold:817;commutative(Mul):811;distribute:475;reverse-associative(Mul):457;associative(Mul):416;factor:375;annihilator:306;doubling:111;inverse-annihilation(Sub):93;canonicalize(Sub):56;commutative(Min):39;commutative(Max):26;identity(Mul):26;canonicalize(Div):14;halving:11;involution(Sub):5;cancellation(Sub):5,99,6,56,36,0.5656565656565656,0.36363636363636365,2,6,0.3333333333333333,0.3571428571428571,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5344827586206896,14.785714285714286,217.0857142857143,0.7714285714285715,0.9090909090909091,0.0,3.896103896103896,7.792207792207792,8.727272727272727
glyph16:U+002E,glyph16,real,16.0,16.0,927.0,511.0,1.814,15771.0,41.0,58.0,24.0,2.0,62.0,1.0,61.0,0.0,0.978,0.0,0.0,0.0,0.0,37.0,Abs:1;Add:56;BitAnd:19;Const:58;Div:16;Dwrt:32;Ge:24;Gt:16;Le:18;Max:22;Min:17;Mul:56;MulAdd:86;Neg:5;Select:41;Sqrt:22;Sub:20;Var:2,1855.0,760.0,3385.0,61301.0,18.11,100.0,5000.0,ClassCap,2.0,6420.0,3288.0,4675.0,25.5,664.0,378112.0,172672.0,2.19,14467.0,2977.0,4.86,53.0,-12.05,ok,7136.0,0.0,72.0,0.0,0.0,532.0,136.0,0.0,0.796,0.204,0.0,72.0,122.0,0.0,8960.0,17216.0,commutative(Mul):1499;fma-fusion:918;commutative(Add):695;reverse-associative(Mul):614;doubling:346;factor:344;associative(Mul):343;reverse-associative(Add):305;distribute:304;halving:276;associative(Add):265;identity(Add):148;constant-fold:101;canonicalize(Sub):72;commutative(Max):66;commutative(Min):51;annihilator:41;canonicalize(Div):32,948,78,980,976,1.0337552742616034,1.029535864978903,50,54,0.6410256410256411,0.004081632653061273,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.7964071856287425,6.151315789473684,8.447368421052632,0.8736842105263158,1.487279843444227,0.0,8.023483365949119,11.350293542074365,13.96477495107632
glyph16:U+002F,glyph16,real,16.0,16.0,127.0,76.0,1.671,1003.0,3.0,5.0,0.0,1.0,45.0,1.0,44.0,0.0,0.963,0.0,0.0,0.0,0.0,25.0,Abs:1;Add:9;BitAnd:4;Const:15;Div:2;Dwrt:4;Ge:2;Le:2;Lt:1;Max:2;Min:3;Mul:12;MulAdd:4;Select:3;Sqrt:2;Sub:8;Var:2,127.0,78.0,275.0,1051.0,3.822,100.0,5000.0,ClassCap,5.0,18425.0,2972.0,3444.0,210.1,61.0,23686.0,20074.0,1.18,436.0,214.0,2.037,3.0,-22.18,ok,800.0,0.0,11.0,7.0,15.0,22.0,28.0,0.231,0.338,0.431,4.0,4.0,0.0,0.0,68.0,2159.0,fma-fusion:2794;reverse-associative(Add):2113;associative(Add):1964;commutative(Mul):1784;commutative(Add):1779;reverse-associative(Mul):1502;distribute:1424;associative(Mul):1276;identity(Add):1178;factor:1083;annihilator:575;constant-fold:547;doubling:133;inverse-annihilation(Sub):81;halving:65;canonicalize(Sub):40;commutative(Min):27;commutative(Max):18;identity(Mul):18;cancellation(Sub):11;canonicalize(Div):10;involution(Sub):3,111,6,68,56,0.6126126126126126,0.5045045045045045,4,6,0.6666666666666666,0.17647058823529416,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5692307692307692,44.15384615384615,236.21794871794873,0.782051282051282,1.0263157894736843,0.0,3.9473684210526314,6.578947368421052,10.526315789473685
