name,category,node_count,stop,classes_raw,live_classes,reachable_nodes,orphaned_nodes,cost,extracted_nodes
glyph16:U+0064,glyph,5864,ClassCap,5000,3022,5000,0,10762,2422
glyph16:U+0065,glyph,4872,ClassCap,4989,2751,4989,0,8771,1974
glyph16:U+0066,glyph,2364,ClassCap,4879,1678,4879,0,3955,963
glyph16:U+0067,glyph,7009,ClassCap,5000,3203,5000,0,12799,2882
glyph16:U+0068,glyph,2931,ClassCap,4716,2081,4716,0,5045,1141
glyph16:U+0069,glyph,2123,ClassCap,4726,1455,4726,0,3510,823
glyph16:U+006A,glyph,4293,ClassCap,4971,2591,4971,0,7518,1688
glyph16:U+006B,glyph,1460,ClassCap,4457,1304,4457,0,2517,615
glyph16:U+006C,glyph,323,ClassCap,3005,467,3005,0,522,148
glyph16:U+006D,glyph,5289,ClassCap,4998,2854,4998,0,9629,2165
glyph16:U+006E,glyph,2264,ClassCap,4826,1628,4826,0,3759,915
glyph16:U+006F,glyph,5716,ClassCap,5000,2941,5000,0,10178,2282
glyph16:U+0070,glyph,5406,ClassCap,4999,2896,4999,0,9919,2226
glyph16:U+0071,glyph,5046,ClassCap,4992,2807,4992,0,9266,2072
glyph16:U+0072,glyph,2456,ClassCap,4912,1806,4912,0,4180,1020
glyph16:U+0073,glyph,6929,ClassCap,5000,3204,5000,0,12690,2864
glyph16:U+0074,glyph,2421,ClassCap,4906,1790,4906,0,4099,991
glyph16:U+0075,glyph,2493,ClassCap,4895,1804,4895,0,4153,999
glyph16:U+0076,glyph,1115,ClassCap,4245,1187,4245,0,1853,443
glyph16:U+0077,glyph,3663,ClassCap,4942,2510,4942,0,6708,1512
glyph16:U+0078,glyph,343,ClassCap,3579,616,3579,0,639,169
glyph16:U+0079,glyph,3530,ClassCap,4918,2441,4918,0,6393,1451
glyph16:U+007A,glyph,255,ClassCap,3357,458,3357,0,393,121
glyph16:U+007B,glyph,4598,ClassCap,4983,2691,4983,0,8207,1866
glyph16:U+007C,glyph,119,Quiesced,998,104,998,0,130,46
glyph16:U+007D,glyph,4598,ClassCap,4983,2687,4983,0,8212,1859
glyph16:U+007E,glyph,5093,ClassCap,4995,2810,4995,0,9377,2097
glyph32:U+0020,glyph,1,Quiesced,1,1,1,0,0,1
glyph32:U+0021,glyph,1927,ClassCap,4706,1352,4706,0,3051,709
glyph32:U+0022,glyph,199,ClassCap,2793,404,2793,0,283,82
glyph32:U+0023,glyph,615,ClassCap,4243,805,4243,0,985,255
glyph32:U+0024,glyph,7185,ClassCap,5000,3231,5000,0,13094,2970
glyph32:U+0025,glyph,7327,ClassCap,5000,3188,5000,0,12650,2805
glyph32:U+0026,glyph,9380,ClassCap,5000,4315,5000,0,17990,4025
glyph32:U+0027,glyph,127,ClassCap,3539,572,3539,0,168,56
glyph32:U+0028,glyph,1855,ClassCap,4708,1375,4708,0,3039,716
glyph32:U+0029,glyph,1855,ClassCap,4709,1376,4709,0,3039,714
glyph32:U+002A,glyph,559,ClassCap,4411,997,4411,0,1140,307
glyph32:U+002B,glyph,247,ClassCap,2061,243,2061,0,316,96
glyph32:U+002C,glyph,1694,ClassCap,4671,1363,4671,0,2779,659
glyph32:U+002D,glyph,119,Quiesced,987,107,987,0,130,47
glyph32:U+002E,glyph,1855,ClassCap,4652,1336,4652,0,2778,641
glyph32:U+002F,glyph,127,ClassCap,3317,462,3317,0,147,49
glyph32:U+0030,glyph,5402,ClassCap,5000,2907,5000,0,9979,2240
glyph32:U+0031,glyph,1492,ClassCap,4473,1308,4473,0,2568,625
glyph32:U+0032,glyph,3891,ClassCap,4945,2532,4945,0,6980,1586
glyph32:U+0033,glyph,6993,ClassCap,5000,3209,5000,0,12792,2894
glyph32:U+0034,glyph,1637,ClassCap,4552,1336,4552,0,2751,666
glyph32:U+0035,glyph,4546,ClassCap,4982,2689,4982,0,8238,1856
glyph32:U+0036,glyph,8107,ClassCap,5000,3676,5000,0,15336,3428
glyph32:U+0037,glyph,191,ClassCap,2790,376,2790,0,288,91
glyph32:U+0038,glyph,9774,ClassCap,5000,4382,5000,0,18319,4088
glyph32:U+0039,glyph,8267,ClassCap,5000,3768,5000,0,15693,3514
glyph32:U+003A,glyph,3655,ClassCap,4867,2348,4867,0,6419,1410
glyph32:U+003B,glyph,3494,ClassCap,4853,2301,4853,0,6080,1367
glyph32:U+003C,glyph,295,ClassCap,2566,395,2566,0,511,145
glyph32:U+003D,glyph,183,Quiesced,1426,158,1426,0,228,73
glyph32:U+003E,glyph,295,ClassCap,2577,396,2577,0,516,146
glyph32:U+003F,glyph,6716,ClassCap,5000,3176,5000,0,12088,2726
glyph32:U+0040,glyph,12056,ClassCap,5228,5228,5228,0,23527,5228
glyph32:U+0041,glyph,1605,ClassCap,4500,1337,4500,0,2672,641
glyph32:U+0042,glyph,4470,ClassCap,4975,2650,4975,0,7970,1797
glyph32:U+0043,glyph,5129,ClassCap,4995,2826,4995,0,9457,2116
glyph32:U+0044,glyph,2606,ClassCap,4367,1933,4367,0,4516,1020
glyph32:U+0045,glyph,247,ClassCap,2778,368,2778,0,335,108
glyph32:U+0046,glyph,215,ClassCap,2530,329,2530,0,285,94
glyph32:U+0047,glyph,4563,ClassCap,4983,2694,4983,0,8262,1867
glyph32:U+0048,glyph,247,ClassCap,2791,367,2791,0,314,95
glyph32:U+0049,glyph,391,ClassCap,3416,564,3416,0,626,168
glyph32:U+004A,glyph,2425,ClassCap,4895,1756,4895,0,4014,964
glyph32:U+004B,glyph,617,ClassCap,4570,923,4570,0,1047,277
glyph32:U+004C,glyph,151,ClassCap,3353,420,3353,0,185,65
glyph32:U+004D,glyph,2345,ClassCap,4914,1702,4914,0,4133,973
glyph32:U+004E,glyph,1399,ClassCap,4650,1324,4650,0,2457,592
glyph32:U+004F,glyph,5945,ClassCap,5000,2979,5000,0,10495,2345
glyph32:U+0050,glyph,2409,ClassCap,4910,1727,4910,0,3980,960
glyph32:U+0051,glyph,6053,ClassCap,5000,3030,5000,0,10748,2422
glyph32:U+0052,glyph,2710,ClassCap,4507,1998,4507,0,4725,1073
glyph32:U+0053,glyph,7616,ClassCap,5000,3433,5000,0,14199,3196
glyph32:U+0054,glyph,183,ClassCap,3520,466,3520,0,227,74
glyph32:U+0055,glyph,2899,ClassCap,4684,2076,4684,0,5170,1177
glyph32:U+0056,glyph,1573,ClassCap,4611,1318,4611,0,2647,627
glyph32:U+0057,glyph,7192,ClassCap,5000,3251,5000,0,13397,3000
glyph32:U+0058,glyph,343,ClassCap,3606,627,3606,0,652,177
glyph32:U+0059,glyph,263,ClassCap,2680,412,2680,0,437,123
glyph32:U+005A,glyph,255,ClassCap,3356,457,3356,0,393,120
glyph32:U+005B,glyph,183,Quiesced,1433,163,1433,0,231,78
glyph32:U+005C,glyph,127,ClassCap,3318,463,3318,0,147,50
glyph32:U+005D,glyph,183,Quiesced,1431,165,1431,0,241,80
glyph32:U+005E,glyph,199,ClassCap,2868,419,2868,0,316,92
glyph32:U+005F,glyph,119,ClassCap,2951,314,2951,0,126,45
glyph32:U+0060,glyph,1722,ClassCap,4669,1355,4669,0,2831,675
glyph32:U+0061,glyph,5743,ClassCap,5000,3005,5000,0,10617,2394
glyph32:U+0062,glyph,5129,ClassCap,4995,2819,4995,0,9434,2110
glyph32:U+0063,glyph,4671,ClassCap,4984,2698,4984,0,8424,1887
glyph32:U+0064,glyph,5864,ClassCap,5000,3022,5000,0,10762,2422
glyph32:U+0065,glyph,4872,ClassCap,4989,2751,4989,0,8771,1974
glyph32:U+0066,glyph,2364,ClassCap,4879,1678,4879,0,3955,963
glyph32:U+0067,glyph,7009,ClassCap,5000,3203,5000,0,12799,2882
glyph32:U+0068,glyph,2931,ClassCap,4716,2081,4716,0,5045,1141
glyph32:U+0069,glyph,2123,ClassCap,4726,1455,4726,0,3510,823
glyph32:U+006A,glyph,4293,ClassCap,4971,2591,4971,0,7518,1688
glyph32:U+006B,glyph,1460,ClassCap,4457,1304,4457,0,2517,615
glyph32:U+006C,glyph,323,ClassCap,3005,467,3005,0,522,148
glyph32:U+006D,glyph,5289,ClassCap,4998,2854,4998,0,9629,2165
glyph32:U+006E,glyph,2264,ClassCap,4826,1628,4826,0,3759,915
glyph32:U+006F,glyph,5716,ClassCap,5000,2941,5000,0,10178,2282
glyph32:U+0070,glyph,5406,ClassCap,4999,2896,4999,0,9919,2226
glyph32:U+0071,glyph,5046,ClassCap,4992,2807,4992,0,9266,2072
glyph32:U+0072,glyph,2456,ClassCap,4912,1806,4912,0,4180,1020
