expr_name,origin,tier,node_count,app_target,app_actual,cost,ended,ended_at_apps
train_b00_f04_00057,train,blitz,4,25,2,144,quiesced,2
train_b00_f04_00057,train,blitz,4,50,2,144,quiesced,2
train_b00_f04_00057,train,blitz,4,100,2,144,quiesced,2
train_b00_f04_00057,train,blitz,4,200,2,144,quiesced,2
train_b00_f04_00057,train,blitz,4,400,2,144,quiesced,2
train_b00_f04_00057,train,blitz,4,800,2,144,quiesced,2
train_b00_f04_00057,train,blitz,4,1600,2,144,quiesced,2
train_b00_f04_00057,train,blitz,4,3200,2,144,quiesced,2
train_b00_f04_00057,train,blitz,4,6400,2,144,quiesced,2
train_b00_f04_00057,train,blitz,4,12800,2,144,quiesced,2
train_b00_f04_00057,train,blitz,4,25600,2,144,quiesced,2
train_b00_f04_00057,train,blitz,4,51200,2,144,quiesced,2
train_b00_f04_00057,train,blitz,4,102400,2,144,quiesced,2
train_b00_f04_00057,train,blitz,4,204800,2,144,quiesced,2
train_b17_f05_01417,train,blitz,5,25,3,10,quiesced,3
train_b17_f05_01417,train,blitz,5,50,3,10,quiesced,3
train_b17_f05_01417,train,blitz,5,100,3,10,quiesced,3
train_b17_f05_01417,train,blitz,5,200,3,10,quiesced,3
train_b17_f05_01417,train,blitz,5,400,3,10,quiesced,3
